,Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
0,9:45:00 AM,17,Tuesday,92,19,15,7,133,normal
1,11:15:00 PM,27,Friday,19,4,0,12,35,low
2,7:45:00 PM,14,Saturday,56,7,12,12,87,low
3,6:30:00 AM,16,Monday,118,40,40,3,201,heavy
4,1:15:00 AM,27,Friday,15,5,0,27,47,normal
5,12:15:00 AM,15,Sunday,19,3,0,38,60,normal
6,11:15:00 AM,29,Sunday,43,7,12,23,85,normal
7,1:00:00 PM,10,Tuesday,52,10,13,21,96,normal
8,9:45:00 AM,25,Wednesday,42,2,28,27,99,normal
9,3:45:00 AM,25,Wednesday,16,4,0,35,55,normal
10,10:30:00 AM,6,Monday,42,3,27,18,90,normal
11,8:45:00 AM,24,Tuesday,102,14,46,1,163,high
12,11:45:00 AM,1,Wednesday,37,9,7,25,78,normal
13,2:00:00 AM,19,Thursday,19,0,1,20,40,normal
14,4:45:00 AM,7,Tuesday,82,15,0,19,116,normal
15,5:15:00 AM,15,Sunday,75,1,7,9,92,low
16,12:15:00 PM,15,Sunday,54,10,12,25,101,normal
17,2:00:00 PM,25,Wednesday,22,28,11,18,79,normal
18,7:15:00 PM,31,Tuesday,104,18,18,23,163,high
19,5:30:00 AM,7,Tuesday,66,6,9,5,86,low
20,4:45:00 AM,28,Saturday,108,10,5,17,140,normal
21,12:00:00 AM,3,Friday,13,0,0,32,45,normal
22,11:30:00 AM,30,Monday,34,6,7,25,72,normal
23,1:30:00 AM,18,Wednesday,11,0,1,40,52,normal
24,9:15:00 AM,1,Wednesday,77,13,7,23,120,high
25,7:15:00 AM,25,Wednesday,142,32,27,2,203,heavy
26,5:00:00 AM,3,Friday,33,17,0,13,63,normal
27,6:30:00 AM,3,Friday,35,14,2,14,65,normal
28,3:45:00 AM,16,Monday,16,5,1,31,53,normal
29,12:30:00 AM,20,Friday,16,2,0,15,33,normal
30,1:30:00 AM,10,Tuesday,37,0,1,4,42,low
31,11:30:00 AM,23,Monday,40,9,15,28,92,normal
32,6:00:00 AM,20,Friday,41,16,7,15,79,normal
33,1:00:00 AM,29,Sunday,19,5,0,12,36,low
34,11:30:00 AM,6,Monday,46,8,6,26,86,normal
35,1:45:00 PM,1,Wednesday,108,17,33,7,165,high
36,3:00:00 AM,28,Saturday,10,2,1,34,47,normal
37,10:15:00 AM,8,Wednesday,81,25,40,20,166,high
38,9:45:00 AM,9,Thursday,11,12,21,24,68,normal
39,3:00:00 PM,3,Friday,179,60,12,0,251,heavy
40,2:00:00 PM,30,Monday,83,22,40,20,165,high
41,8:45:00 PM,1,Wednesday,87,11,16,28,142,high
42,9:45:00 PM,2,Thursday,74,5,19,5,103,normal
43,9:00:00 PM,20,Friday,39,6,6,1,52,low
